edad,ingreso_anual,propiedad_vivienda,antiguedad_empleo,intencion_credito,grado_credito,monto_credito,tasa_interes,estado_credito,procentaje_de_ingreso,incumplimiento_historico,historial_crediticio
22,59000,alquiler,123,personal,D,35000,16.02,1,0.59,Y,3
21,9600,propia,5,educacion,B,1000,11.14,0,0.1,N,2
25,9600,hipoteca,1,medico,C,5500,12.87,1,0.57,N,3
23,65500,alquiler,4,medico,C,35000,15.23,1,0.53,N,2
24,54400,alquiler,8,medico,C,35000,14.27,1,0.55,Y,4
21,9900,propia,2,emprendimiento,A,2500,7.14,1,0.25,N,2
26,77100,alquiler,8,educacion,B,35000,12.42,1,0.45,N,3
24,78956,alquiler,5,medico,B,35000,11.11,1,0.44,N,4
24,83000,alquiler,8,personal,A,35000,8.9,1,0.42,N,2
21,10000,propia,6,emprendimiento,D,1600,14.74,1,0.16,N,3
22,85000,alquiler,6,emprendimiento,B,35000,10.37,1,0.41,N,4
21,10000,propia,2,mejora_hogar,A,4500,8.63,1,0.45,N,2
23,95000,alquiler,2,emprendimiento,A,35000,7.9,1,0.37,N,2
26,108160,alquiler,4,educacion,E,35000,18.39,1,0.32,N,4
23,115000,alquiler,2,educacion,A,35000,7.9,0,0.3,N,4
23,500000,hipoteca,7,consolidar_deudas,B,30000,10.65,0,0.06,N,3
23,120000,alquiler,0,educacion,A,35000,7.9,0,0.29,N,4
23,92111,alquiler,7,medico,F,35000,20.25,1,0.32,N,4
23,113000,alquiler,8,consolidar_deudas,D,35000,18.25,1,0.31,N,4
24,10800,hipoteca,8,educacion,B,1750,10.99,1,0.16,N,2
25,162500,alquiler,2,emprendimiento,A,35000,7.49,0,0.22,N,4
25,137000,alquiler,9,personal,E,34800,16.77,0,0.25,Y,2
22,65000,alquiler,4,educacion,D,34000,17.58,1,0.52,N,4
24,10980,propia,0,personal,A,1500,7.29,0,0.14,N,3
22,80000,alquiler,3,personal,D,33950,14.54,1,0.42,Y,4
24,67746,alquiler,8,mejora_hogar,C,33000,12.68,1,0.49,N,3
21,11000,hipoteca,3,emprendimiento,E,4575,17.74,1,0.42,Y,3
23,11000,propia,0,personal,A,1400,9.32,0,0.13,N,3
24,65000,alquiler,6,mejora_hogar,B,32500,9.99,1,0.5,N,3
21,11389,OTHER,5,educacion,C,4000,12.84,1,0.35,Y,2
21,11520,propia,5,medico,B,2000,11.12,1,0.17,N,3
25,120000,alquiler,2,emprendimiento,A,32000,6.62,0,0.27,N,2
26,95000,alquiler,7,mejora_hogar,C,31050,14.17,1,0.33,Y,3
25,306000,alquiler,2,consolidar_deudas,C,24250,13.85,0,0.08,N,3
26,300000,hipoteca,10,medico,C,7800,13.49,0,0.03,N,4
21,12000,propia,5,educacion,A,2500,7.51,1,0.21,N,4
22,48000,alquiler,1,educacion,E,30000,18.39,1,0.63,N,2
24,64000,alquiler,8,consolidar_deudas,D,30000,14.54,1,0.47,Y,3
25,75000,alquiler,4,mejora_hogar,D,30000,16.89,1,0.4,Y,4
23,71500,alquiler,3,consolidar_deudas,D,30000,,1,0.42,N,4
26,62050,alquiler,6,medico,E,30000,17.99,1,0.41,N,2
24,12000,propia,4,emprendimiento,B,2500,12.69,1,0.21,N,3
26,300000,hipoteca,10,emprendimiento,A,20000,7.88,0,0.07,N,4
23,300000,propia,1,educacion,F,24250,19.41,0,0.08,Y,2
26,300000,propia,9,mejora_hogar,B,10000,10.38,0,0.03,N,4
26,300000,hipoteca,0,educacion,D,25000,15.33,0,0.08,N,3
25,300000,hipoteca,9,mejora_hogar,E,18000,16.45,0,0.06,N,3
26,80690,alquiler,8,personal,A,30000,7.49,1,0.37,N,3
22,66300,alquiler,4,medico,B,30000,12.69,1,0.38,N,3
